TSIS-1
Version: v3L3
Created: 11-Dec-2024
JD        Value 
2459281.5 1361.734200
2459282.5 1361.768300
2459283.5 1361.765900
2459284.5 1361.789100
2459285.5 1361.803900
2459286.5 1361.793500
2459287.5 NaN
2459288.5 1361.777900
2459289.5 1361.776800
2459290.5 1361.817700
2459291.5 1361.827400
2459292.5 1361.870300
2459293.5 1361.887000
2459294.5 NaN
2459295.5 1361.878300
2459296.5 1361.866600
2459297.5 1361.881700
2459298.5 1361.881500
2459299.5 1361.873100
2459300.5 1361.847500
2459301.5 1361.830400
2459302.5 1361.832700
2459303.5 1361.827200
2459304.5 1361.800600
2459305.5 1361.777300
2459306.5 1361.762600
2459307.5 1361.715500
2459308.5 1361.705000
2459309.5 1361.712200
2459310.5 NaN
2459311.5 1361.742300
2459312.5 1361.721700
2459313.5 1361.731500
2459314.5 1361.721300
