;The following data are for ACRIM2_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  2965  1363.764
 2449400.987  1364.126    0.0804
 2449401.989  1364.011    0.0802
 2449403.000  1363.978    0.0800
 2449403.993  1364.155    0.0798
 2449405.002  1364.381    0.0797
 2449406.005  1364.513    0.0795
 2449407.009  1364.574    0.0793
 2449408.013  1364.545    0.0791
 2449409.014  1364.472    0.0789
 2449410.024  1364.416    0.0788
 2449411.214  1364.367    0.0786
 2449411.987  1364.281    0.0784
 2449413.047  1364.432    0.0782
 2449414.009  1364.357    0.0781
 2449414.994  1364.413    0.0779
 2449415.991  1364.373    0.0777
 2449416.998  1364.315    0.0776
 2449417.992  1364.170    0.0774
 2449418.985  1364.097    0.0772
 2449419.982  1364.089    0.0770
 2449420.990  1363.979    0.0769
 2449421.986  1363.997    0.0767
 2449422.983  1364.055    0.0765
 2449423.995  1364.092    0.0764
 2449424.997  1364.165    0.0762
 2449426.002  1364.014    0.0760
 2449426.760  1364.094    0.0758
 2449428.000    -9.000   -9.0000
 2449429.012  1364.432    0.0755
 2449429.983  1364.500    0.0753
 2449431.010  1364.436    0.0752
 2449432.001  1364.679    0.0750
 2449432.993  1364.747    0.0748
 2449433.991  1364.638    0.0747
 2449434.995  1364.743    0.0745
 2449436.003  1364.736    0.0743
 2449437.007  1364.706    0.0742
 2449438.018  1364.613    0.0740
 2449439.015  1364.523    0.0738
 2449440.020  1364.503    0.0737
 2449441.019  1364.459    0.0735
 2449442.018  1364.373    0.0733
 2449443.015  1364.396    0.0732
 2449444.019  1364.365    0.0730
 2449445.022  1364.372    0.0728
 2449446.008  1364.244    0.0727
 2449446.999  1364.237    0.0725
 2449447.988  1364.151    0.0723
 2449448.983  1364.140    0.0722
 2449449.986  1364.175    0.0720
 2449450.986  1364.220    0.0719
 2449452.002  1364.285    0.0717
 2449452.994  1364.301    0.0715
 2449453.966  1364.335    0.0714
 2449455.001  1364.329    0.0712
 2449456.003  1364.306    0.0710
 2449457.005  1364.338    0.0709
 2449458.008  1364.373    0.0707
 2449459.000  1364.435    0.0706
 2449460.010  1364.382    0.0704
 2449461.008  1364.440    0.0702
 2449462.011  1364.323    0.0701
 2449463.017  1364.337    0.0699
 2449464.016  1364.258    0.0697
 2449464.927  1364.309    0.0696
 2449465.974  1364.339    0.0694
 2449466.981  1364.302    0.0693
 2449467.984  1364.304    0.0691
 2449468.989  1364.307    0.0689
 2449469.990  1364.241    0.0688
 2449470.993  1364.194    0.0686
 2449471.995  1364.149    0.0685
 2449473.008  1364.075    0.0683
 2449473.999  1363.932    0.0681
 2449475.003  1363.891    0.0680
 2449476.011  1363.946    0.0678
 2449477.014  1363.926    0.0677
 2449478.015  1363.974    0.0675
 2449479.018  1363.994    0.0673
 2449480.029  1364.057    0.0672
 2449481.017  1364.091    0.0670
 2449482.016  1364.111    0.0669
 2449482.998  1364.164    0.0667
 2449484.003  1364.210    0.0665
 2449484.997  1364.231    0.0664
 2449485.995  1364.190    0.0662
 2449487.006  1364.235    0.0661
 2449487.990  1364.193    0.0659
 2449488.985  1364.165    0.0658
 2449489.982  1364.191    0.0656
 2449490.995  1364.230    0.0654
 2449491.995  1364.237    0.0653
 2449492.992  1364.349    0.0651
 2449494.000  1364.406    0.0650
 2449494.993  1364.470    0.0648
 2449495.803  1364.457    0.0647
 2449497.000    -9.000   -9.0000
 2449498.003  1364.223    0.0643
 2449498.989  1364.150    0.0642
 2449499.996  1364.081    0.0640
 2449501.002  1364.009    0.0639
 2449501.990  1363.966    0.0637
 2449503.005  1363.982    0.0636
 2449504.000  1363.945    0.0634
 2449504.996  1364.022    0.0633
 2449506.005  1364.054    0.0631
 2449507.006  1364.095    0.0629
 2449508.030  1364.096    0.0628
 2449509.011  1364.095    0.0626
 2449510.008  1364.137    0.0625
 2449511.021  1364.180    0.0623
 2449512.017  1364.255    0.0622
 2449512.996  1364.282    0.0620
 2449514.015  1364.228    0.0619
 2449515.022  1364.152    0.0617
 2449516.014  1364.088    0.0616
 2449517.008  1364.135    0.0614
 2449517.993  1364.241    0.0613
 2449518.983  1364.304    0.0611
 2449519.965  1364.340    0.0610
 2449521.017  1364.410    0.0608
 2449522.029  1364.374    0.0607
 2449522.997  1364.356    0.0605
 2449524.004  1364.301    0.0604
 2449525.010  1364.289    0.0602
 2449526.010  1364.234    0.0601
 2449527.008  1364.223    0.0599
 2449528.011  1364.208    0.0598
 2449529.038  1364.179    0.0596
 2449530.022  1364.192    0.0595
 2449531.019  1364.175    0.0593
 2449532.010  1364.201    0.0592
 2449533.003  1364.158    0.0591
 2449534.000  1363.927    0.0589
 2449535.002  1363.947    0.0588
 2449536.008  1363.958    0.0586
 2449536.964  1364.045    0.0585
 2449537.915  1364.100    0.0583
 2449539.001  1364.186    0.0582
 2449539.999  1364.235    0.0580
 2449541.000  1364.216    0.0579
 2449541.999  1364.113    0.0578
 2449543.016  1364.066    0.0576
 2449544.002  1364.109    0.0575
 2449545.006  1364.158    0.0573
 2449546.013  1364.320    0.0572
 2449547.017  1364.361    0.0570
 2449548.021  1364.270    0.0569
 2449549.020  1364.140    0.0568
 2449550.035  1364.087    0.0566
 2449551.007  1364.079    0.0565
 2449552.004  1364.117    0.0563
 2449552.999  1364.046    0.0562
 2449553.998  1363.971    0.0561
 2449554.991  1363.904    0.0559
 2449555.983  1363.887    0.0558
 2449556.995  1363.880    0.0556
 2449557.983  1363.938    0.0555
 2449558.986  1364.052    0.0554
 2449559.989  1364.138    0.0552
 2449560.992  1364.198    0.0551
 2449561.994  1364.238    0.0550
 2449562.993  1364.252    0.0548
 2449564.007  1364.334    0.0547
 2449564.996  1364.391    0.0546
 2449566.011  1364.405    0.0544
 2449567.004  1364.449    0.0543
 2449568.004  1364.444    0.0541
 2449568.833  1364.400    0.0540
 2449570.003  1364.327    0.0539
 2449571.010  1364.226    0.0537
 2449572.001  1364.194    0.0536
 2449573.007  1364.169    0.0535
 2449574.016  1364.146    0.0533
 2449575.013  1364.106    0.0532
 2449576.008  1364.107    0.0531
 2449577.009  1364.080    0.0530
 2449578.036  1363.946    0.0528
 2449579.017  1363.784    0.0527
 2449580.018  1363.895    0.0526
 2449581.024  1363.953    0.0524
 2449582.020  1364.055    0.0523
 2449583.012  1364.131    0.0522
 2449584.004  1364.081    0.0520
 2449585.018  1364.092    0.0519
 2449586.000  1364.119    0.0518
 2449586.993  1364.137    0.0516
 2449587.990  1364.095    0.0515
 2449588.988  1364.052    0.0514
 2449589.987  1364.091    0.0513
 2449590.990  1364.105    0.0511
 2449592.007  1364.165    0.0510
 2449592.999  1364.215    0.0509
 2449594.003  1364.247    0.0508
 2449595.011  1364.274    0.0506
